requirement_id,source,rationale,implementation,validation_evidence,verification_evidence,test_ids,status
SRQ052,Etapa de filtragem; SRQ001; SRQ018,Preservar causalidade da decisão de transmissão,filtering/interfaces.py; filtering/policies.py:_SequentialTelemetryFilter,reports/telemetry_filter_engine.md: contrato sequencial,Ordem por unidade e invariância a sufixo verificadas,test_telemetry_filtering.SequentialFilterTests.test_processing_is_strictly_sequential_per_unit; test_telemetry_filtering.SequentialFilterTests.test_prefix_results_do_not_depend_on_future_suffix,verified
SRQ070,prediction_contract.md; Prompt 11,Preservar causalidade e fronteira entre motores,models/temporal/tcn.py:_sequence_arrays,reports/tcn_report.md: auditoria causal,Prefixo futuro e isolamento por unidade testados,test_tcn.TCNTests.test_sequence_builder_is_unit_scoped_causal_and_origin_aligned; test_tcn.TCNTests.test_causal_convolution_prefix_invariance,verified
SRQ071,SRQ070; projeto TCN,Não confundir padding com telemetria,models/temporal/tcn.py:SmallTCN; _sequence_arrays,reports/tcn_report.md: padding e máscara,Máscaras adversariais e sequências curtas testadas,test_tcn.TCNTests.test_short_sequences_are_left_padded_and_masked; test_tcn.TCNTests.test_mask_rejects_nonbinary_or_right_padding_and_masks_left_values,verified
SRQ072,prediction_contract.md; coerência de horizontes,Preservar eventos H15 contidos em H30,models/temporal/tcn.py:SmallTCN.forward,reports/tcn/metrics.json: zero violações,Cabeça exata limites e coerência testados,test_tcn.TCNTests.test_joint_head_implements_nested_probabilities_without_repair; test_tcn.TCNTests.test_training_bounds_coherence_save_load_and_invalid_input,verified
SRQ073,SRQ011; regra de holdout,Evitar ajuste indireto a validation,application/tcn_fd001.py:grouped_early_stopping_split,reports/tcn/model_card.json: partition_units,Disjunção e loader restrito testados,test_tcn_pipeline.TCNPipelineTests.test_grouped_early_stopping_is_disjoint_and_reproducible; test_tcn.TCNTests.test_early_stopping_fit_rejects_unit_overlap; test_tcn_pipeline.TCNPipelineTests.test_processed_loader_reads_only_train_and_validation_parquets,verified
SRQ074,SRQ005; SRQ009; configuration management,Rejeitar artefato incompatível,models/temporal/tcn.py:save; load,reports/tcn/model_card.json: hashes,Round trip e schema incompatível testados,test_tcn.TCNTests.test_training_bounds_coherence_save_load_and_invalid_input,verified
SRQ075,SRQ010; model card TCN,Controlar reprodutibilidade e declarar limite de plataforma,models/temporal/tcn.py:_seed_everything; configs/tcn.toml,reports/tcn/model_card.json; ASM040,Repetição exata verificada no mesmo ambiente; outra plataforma pendente,test_tcn.TCNTests.test_training_is_reproducible_with_fixed_seed,partial
SRQ076,Objetivo comparativo Prompt 11,Interpretar desempenho com custo local,application/tcn_fd001.py; reports/tcn/metrics.json,reports/tcn_report.md: timings e parâmetros,Execução oficial registrou CPU e 3570 parâmetros,test_tcn_pipeline.TCNPipelineTests.test_processed_loader_reads_only_train_and_validation_parquets,verified
SRQ077,SRQ039; política OOF da fusão,Impedir stacking com previsão neural in-sample,configs/tcn.toml; reports/tcn/model_card.json,reports/tcn_report.md: TCN fora da fusão,OOF false e ausência nos componentes atuais verificadas,test_tcn_pipeline.TCNPipelineTests.test_grouped_early_stopping_is_disjoint_and_reproducible,verified
SRQ078,SRQ004; SRQ007; contrato TCN,Não ocultar entrada inválida,models/temporal/tcn.py:predict_risk,reports/tcn_report.md: contrato de falha,Status indisponível e features proibidas testados,test_tcn.TCNTests.test_training_bounds_coherence_save_load_and_invalid_input; test_tcn.TCNTests.test_forbidden_feature_names_are_rejected,verified
